imdb_id,popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,budget_adj,revenue_adj,vote_avg
tt3460252,5.8984,44000000,155760117,The Hateful Eight,Samuel L. Jackson:66759 points|Kurt Russell:13449 points|Jennifer Jason Leigh:19503 points|Walton Goggins|DemiÃ¡n Bichir:7660 points,Quentin Tarantino:102483 points,bounty hunter|wyoming|mountains|hangman|voice over narration,167,Crime|Drama|Mystery|Western,|Double Feature Films|The Weinstein Company|FilmColony|,12/25/15,2389,7.4,46595999,164949962,7.8
tt2446042,5.749758,48000000,325771424,Taken 3,Liam Neeson:58090 points|Forest Whitaker:28053 points|Maggie Grace|Famke Janssen:7549 points|Dougray Scott,Olivier Megaton,revenge|murder|on the run|fugitive|framed,109,Crime|Action|Thriller,|Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+|,1/1/15,1578,6.1,50831999,344991934,6.0
tt0478970,5.573184,130000000,518602163,Ant-Man,Paul Rudd|Michael Douglas:17784 points|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed:3824 points,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,115,Science Fiction|Action|Adventure,|Marvel Studios|,7/14/15,3779,7.0,137669998,549199684,7.3
tt1661199,5.556818,95000000,542351353,Cinderella,Lily James|Cate Blanchett:46054 points|Richard Madden|Helena Bonham Carter:47201 points|Holliday Grainger,Kenneth Branagh:584 points,cinderella|magic|fairy tale|princess|shoe,112,Romance|Fantasy|Family|Drama,|Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions|,3/12/15,1495,6.8,100604999,574350076,6.9
tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence:49162 points|Josh Hutcherson:19737 points|Liam Hemsworth:19737 points|Woody Harrelson:51565 points|Elizabeth Banks:23590 points,Francis Lawrence:9466 points,revolution|strong woman|dystopia|game of death|3d,136,War|Adventure|Science Fiction,|Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force|,11/18/15,2380,6.5,169439998,688904301,6.5
tt1964418,5.462138,190000000,209035668,Tomorrowland,Britt Robertson|George Clooney:58943 points|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird:5771 points,inventor|apocalypse|destiny|imax|dreamer,130,Action|Family|Science Fiction|Adventure|Mystery,|Walt Disney Pictures|Babieka|A113|,5/19/15,1899,6.2,201209998,221368770,6.5
tt1798684,5.337064,30000000,91709827,Southpaw,Jake Gyllenhaal:55275 points|Rachel McAdams:27148 points|Forest Whitaker:28053 points|Oona Laurence|50 Cent,Antoine Fuqua:5003 points,sport,123,Action|Drama,|Escape Artists|Riche-Ludwig Productions|,6/15/15,1386,7.3,31770000,97120706,7.4
tt2126355,4.907832,110000000,470490832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,114,Action|Drama|Thriller,|New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company|,5/27/15,2060,6.1,116489999,498249785,6.1
tt2322441,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle:19808 points|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,125,Drama|Romance,|Focus Features|Trigger Street Productions|Michael De Luca Productions|,2/11/15,1865,5.3,42359999,603260896,4.1
tt1596363,4.648046,28000000,133346506,The Big Short,Christian Bale:114606 points|Steve Carell:21671 points|Ryan Gosling:52106 points|Brad Pitt:131191 points|Melissa Leo:26713 points,Adam McKay:4476 points,bank|fraud|biography|wall street|finances,130,Comedy|Drama,|Paramount Pictures|Plan B Entertainment|Regency Enterprises|,12/11/15,1545,7.3,29652000,141213948,7.8
tt2381249,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Tom Cruise:55683 points|Jeremy Renner:36442 points|Simon Pegg|Rebecca Ferguson:2388 points|Ving Rhames,Christopher McQuarrie,spy|sequel|mission,131,Action,|Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions|,7/23/15,2349,7.1,158849998,722587609,7.4
tt2637276,4.564549,68000000,215863606,Ted 2,Mark Wahlberg:34510 points|Seth MacFarlane|Amanda Seyfried:7121 points|Jessica Barth|Giovanni Ribisi:28981 points,Seth MacFarlane,sperm bank|sequel|buddy|courthouse|teddy bear,115,Comedy,|Universal Pictures|Media Rights Capital|Fuzzy Door Productions|,6/25/15,1666,6.3,72011999,228599556,6.3
tt2802144,4.503789,81000000,403802136,Kingsman: The Secret Service,Taron Egerton|Colin Firth:21904 points|Samuel L. Jackson:66759 points|Michael Caine:136360 points|Mark Strong,Matthew Vaughn:6283 points,spy|great britain|secret organization|secret agent|marvel comic,130,Crime|Comedy|Action|Adventure,|Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions|,1/24/15,3833,7.6,85778999,427626457,7.7
tt1895587,4.062293,20000000,88346473,Spotlight,Mark Ruffalo:60052 points|Michael Keaton:23722 points|Rachel McAdams:27148 points|Liev Schreiber:14624 points|John Slattery,Tom McCarthy:7462 points,child abuse|journalism|judge|florida|boston,128,Drama|Thriller|History,|Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features|,11/6/15,1559,7.8,21180000,93558914,8.1
tt4046784,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,based on novel|resistance|maze|post-apocalyptic|dystopia,132,Action|Science Fiction|Thriller,|Gotham Group|Temple Hill Entertainment|TSG Entertainment|,9/9/15,1849,6.4,64598999,329621081,6.3
tt3168230,3.927333,0,29355203,Mr. Holmes,Ian McKellen:18411 points|Milo Parker|Laura Linney:23512 points|Hattie Morahan|Patrick Kennedy,Bill Condon:840 points,london|detective|sherlock holmes,103,Mystery|Drama,|BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film|,6/19/15,425,6.4,0,31087160,6.9
tt1823672,3.899557,49000000,102069268,Chappie,Sharlto Copley|Dev Patel:15616 points|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,artificial intelligence|android|robot|near future|robot cop,120,Crime|Action|Science Fiction,|Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films|,3/4/15,1990,6.6,51890999,108091354,6.8
tt2848292,3.877764,29000000,287506194,Pitch Perfect 2,Anna Kendrick:10383 points|Rebel Wilson|Hailee Steinfeld:5022 points|Brittany Snow|Skylar Astin,Elizabeth Banks,music|sequel|singer|male female relationship|audition,115,Comedy|Music,|Universal Pictures|Gold Circle Films|Brownstone Productions|,5/7/15,1264,6.8,30711000,304469056,6.4
tt3682448,3.64821,40000000,162610473,Bridge of Spies,Tom Hanks:118145 points|Mark Rylance:11703 points|Amy Ryan:19296 points|Alan Alda:8699 points|Sebastian Koch:16208 points,Steven Spielberg:131784 points,spy|cia|cold war|pilot|lawyer,141,Thriller|Drama,|DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions|,10/15/15,1638,7.1,42359999,172204489,7.6
tt1051904,3.644541,58000000,150170815,Goosebumps,Jack Black:9917 points|Dylan Minnette|Odeya Rush|Amy Ryan:19296 points|Jillian Bell,Rob Letterman,based on novel|magic|fantasy|family|3d,103,Adventure|Horror|Comedy,|Columbia Pictures|Original Film|Scholastic Entertainment|,8/5/15,600,6.2,61421999,159030891,6.3
tt3170832,3.557846,6000000,35401758,Room,Brie Larson:7444 points|Jacob Tremblay|Joan Allen:5672 points|Sean Bridgers|William H. Macy:25794 points,Lenny Abrahamson:4804 points,based on novel|carpet|isolation|imprisonment|grandparents,117,Drama|Thriller,|Element Pictures|No Trace Camping|A24|Duperele Films|,10/16/15,1520,8.0,6354000,37490461,8.2
tt1291570,3.358321,0,22354572,Solace,Abbie Cornish:12933 points|Jeffrey Dean Morgan|Colin Farrell:22676 points|Anthony Hopkins:26642 points|Marley Shelton,Afonso Poyart,thriller|serial killer|psychic|fbi agent|intrigue,101,Crime|Drama|Mystery,|Eden Rock Media|FilmNation Entertainment|Flynn Picture Company|,9/3/15,474,6.2,0,23673491,6.4
tt1979388,3.339135,175000000,331926147,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright:18732 points|Frances McDormand:32753 points|Maleah Nipay-Padilla,Peter Sohn,tyrannosaurus rex|friends|animation|alternate history|dinosaur,93,Adventure|Animation|Comedy|Family|Fantasy,|Walt Disney Pictures|Pixar Animation Studios|Buena Vista|,11/14/15,1087,6.6,185324998,351509785,6.7
tt2199571,3.23737,50000000,71561644,Run All Night,Liam Neeson:58090 points|Ed Harris:48504 points|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra:8427 points,hitman|revenge|murder|on the run|mobster,114,Action|Crime|Drama|Mystery|Thriller,|Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment|,3/11/15,814,6.3,52949999,75783780,6.6
tt2381111,3.227329,11000000,62076141,Brooklyn,Saoirse Ronan:19400 points|Domhnall Gleeson:23035 points|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,love triangle|based on novel|homesickness|vororte|ship,111,Drama|Romance,|Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions|,11/4/15,754,7.3,11649000,65738633,7.5
tt1398426,3.202719,28000000,201634991,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray:3466 points,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,147,Drama|Music,|New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz|,8/13/15,918,7.7,29652000,213531453,7.9
tt1618442,3.080505,90000000,140396650,The Last Witch Hunter,Vin Diesel:15124 points|Rose Leslie|Michael Caine:136360 points|Elijah Wood:28244 points|Ã“lafur Darri Ã“lafsson,Breck Eisner,new york|witch|uprising|witch hunter,106,Fantasy|Action|Adventure,|Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel|,10/21/15,879,5.6,95309999,148680051,6.0
tt2080374,3.0795220000000003,30000000,34441873,Steve Jobs,Michael Fassbender:43545 points|Kate Winslet:43103 points|Seth Rogen:16544 points|Katherine Waterston|Jeff Daniels:19561 points,Danny Boyle:29081 points,biography|computer|based on true story|father daughter relationship|apple computer,122,History|Drama,|Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360|,10/9/15,1035,6.9,31770000,36473943,7.2
tt1638355,3.053421,75000000,108145109,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer:4504 points|Alicia Vikander:6878 points|Elizabeth Debicki|Luca Calvani,Guy Ritchie:20149 points,spy|cold war|remake|based on tv series|buddy cop,116,Comedy|Action|Adventure,|Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment|,8/13/15,1548,7.0,79424999,114525669,7.3
tt1655441,3.025852,25000000,42629776,The Age of Adaline,Blake Lively:2179 points|Michiel Huisman|Harrison Ford:70521 points|Ellen Burstyn:18555 points|Kathy Baker,Lee Toland Krieger,san francisco|immortality|love|forever,112,Fantasy|Drama|Romance,|Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity|,4/16/15,1221,7.3,26475000,45144932,7.2
tt3072482,3.023253,10000000,14333790,Hardcore Henry,Sharlto Copley|Haley Bennett:1823 points|Danila Kozlovskiy|Tim Roth:44850 points|Andrei Dementiev,Ilya Naishuller,female nudity|cyborg|nudity|murder|gore,97,Action|Adventure|Science Fiction,|Bazelevs Production|Versus Pictures|,9/12/15,396,5.9,10590000,15179483,6.7
tt2224026,2.976436,135000000,368871007,Home,Jim Parsons|Rihanna|Steve Martin:972 points|Jennifer Lopez:1578 points|Matt Jones,Tim Johnson,friendship|spaceship|space|alien|alien invasion,94,Fantasy|Comedy|Animation|Science Fiction|Family,|Twentieth Century Fox Film Corporation|DreamWorks Animation|,3/18/15,1060,6.9,142964998,390634392,6.6
tt3622592,2.968254,12000000,85512300,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,109,Drama|Mystery|Romance,|Fox 2000 Pictures|,7/9/15,1252,6.2,12708000,90557525,6.3
tt2231253,2.93234,30000000,0,Wild Card,Jason Statham:20893 points|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche:6304 points,Simon West,gambling|bodyguard|remake,92,Thriller|Crime|Drama,|Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services|,1/14/15,481,5.3,31770000,0,5.6
tt3464902,2.885126,4000000,9064511,The Lobster,Colin Farrell:22676 points|Rachel Weisz:15251 points|LÃ©a Seydoux|John C. Reilly:28002 points|Ben Whishaw:24280 points,Yorgos Lanthimos:1538 points,dystopia,118,Thriller|Comedy|Drama|Romance|Science Fiction,|Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film|,10/8/15,638,6.6,4236000,9599317,7.1
tt2402927,2.883233,11800000,40272135,Carol,Cate Blanchett:46054 points|Rooney Mara:23255 points|Kyle Chandler:35387 points|Sarah Paulson:19224 points|Jake Lacy,Todd Haynes:2954 points,gay|new york|female nudity|chicago|sex,118,Romance|Drama,|Killer Films|Film4|Number 9 Films|,11/20/15,562,7.1,12496200,42648190,7.2
tt2361509,2.814802,35000000,194564672,The Intern,Robert De Niro:130207 points|Anne Hathaway:55808 points|Rene Russo:11890 points|Anders Holm|JoJo Kushner,Nancy Meyers:8913 points,intern|woman director,121,Comedy,|Waverly Films|Warner Bros.|,9/24/15,1255,7.1,37065000,206043985,7.1
tt2719848,2.798017,55000000,203427584,Everest,Jason Clarke:15951 points|Jake Gyllenhaal:55275 points|Josh Brolin:32083 points|John Hawkes:20415 points|Sam Worthington:17243 points,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,121,Adventure|Drama,|Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures|,9/10/15,1172,6.7,58244999,215429809,7.1
tt2446980,2.793297,60000000,101134059,Joy,Jennifer Lawrence:49162 points|Bradley Cooper:51496 points|Robert De Niro:130207 points|Dascha Polanco|Edgar RamÃ­rez:3439 points,David O. Russell:22172 points,biography,124,Comedy|Drama,|Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment|,12/24/15,1001,6.4,63539999,107100967,6.6
tt2058673,2.6144990000000004,105000000,133718711,Point Break,Edgar RamÃ­rez:3439 points|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,114,Action|Crime|Thriller,|Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions|,12/3/15,505,5.5,111194999,141608113,5.3
tt2503944,2.584264,20000000,36606743,Burnt,Bradley Cooper:51496 points|Sienna Miller:6122 points|Lily James|Alicia Vikander:6878 points|Uma Thurman:49996 points,John Wells:1708 points,london|cook|restaurant|diva|career,100,Drama,|Double Feature Films|PeaPie Films|3 Arts Entertainment|,10/2/15,631,6.3,21180000,38766540,6.6
tt2140379,2.578919,26000000,30523226,Self/less,Ryan Reynolds:7804 points|Ben Kingsley:49567 points|Natalie Martinez|Matthew Goode:14358 point|Michelle Dockery,Tarsem Singh:1465 points,lie|immortality|terminal illness|laboratory|cancer,116,Science Fiction|Mystery|Thriller,|Endgame Entertainment|Ram Bergman Productions|,7/10/15,719,6.2,27534000,32324096,6.5
tt3045616,2.575711,60000000,30418560,Mortdecai,Johnny Depp:79935 points|Gwyneth Paltrow:37814 points|Ewan McGregor:32736 points|Paul Bettany|Olivia Munn,David Koepp,based on novel|painting|debt|art dealer|stolen painting,106,Comedy|Adventure,|Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media|,1/21/15,696,5.3,63539999,32213255,5.5
tt0810819,2.557859,15000000,64191523,The Danish Girl,Eddie Redmayne:13037 points|Alicia Vikander:6878 points|Matthias Schoenaerts:2906 points|Amber Heard:2661 points|Ben Whishaw:24280 points,Tom Hooper:16025 points,paris|denmark|copenhagen|artist|art,120,Drama,|Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be|,11/27/15,867,7.3,15885000,67978822,7.1
tt2717822,2.5507470000000003,70000000,17752940,Blackhat,Chris Hemsworth:8028 points|Leehom Wang|Tang Wei|Viola Davis:26192 points|Holt McCallany,Michael Mann:17705 points,terrorist|technology|anti hero|hacker|computer virus,133,Mystery|Crime|Action|Thriller|Drama,|Universal Pictures|Forward Pass|Legendary Pictures|,1/13/15,584,5.0,74129999,18800363,5.4
tt3397884,2.487849,30000000,84025816,Sicario,Emily Blunt:13042 points|Benicio del Toro|Josh Brolin:32083 points|Victor Garber|Jon Bernthal,Denis Villeneuve:22734 points,mexico|cia|smoking|texas|fbi,121,Action|Crime|Drama|Mystery|Thriller,|Lionsgate|Thunder Road Pictures|Black Label Media|,9/17/15,1479,7.1,31770000,88983338,7.6
tt1502712,2.487042,120000001,167977596,Fantastic Four,Miles Teller:10978 points|Kate Mara:15431 points|Michael B. Jordan|Jamie Bell:4642 points|Toby Kebbell,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,100,Action|Adventure|Science Fiction,|Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC)|,8/5/15,1565,4.4,127080000,177888272,4.3
tt4263482,2.46449,3500000,40423945,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,witch|new england|17th century,92,Mystery|Horror,|Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films|,3/24/15,700,5.8,3706500,42808957,6.8
tt3079380,2.404473,65000000,235666219,Spy,Melissa McCarthy:1317 points|Jason Statham:20893 points|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig:2839 points,spy|cia|undercover|arms dealer|disaster,120,Action|Comedy|Crime,|Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment|,5/6/15,1840,6.9,68834999,249570523,7.0
tt2381941,2.395366,50100000,153962963,Focus,Will Smith:17690 points|Margot Robbie:17839 points|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,105,Romance|Comedy|Crime|Drama,|Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films|,2/25/15,1831,6.7,53055899,163046776,6.6
tt2679042,2.354654,35000000,82347656,Hitman: Agent 47,Rupert Friend:6356 points|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,96,Action|Crime|Thriller,|Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment|,8/20/15,820,5.5,37065000,87206167,5.7
tt1390411,2.345821,100000000,93820758,In the Heart of the Sea,Chris Hemsworth:8028 points|Benjamin Walker|Cillian Murphy:73040 points|Brendan Gleeson:22927 points|Ben Whishaw:24280 points,Ron Howard:30383 points,suicide|ocean|sea|hunger|shipwreck,122,Thriller|Drama|Adventure|Action|History,|Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media|,11/20/15,805,6.4,105899999,99356182,6.9
tt3247714,2.331636,20000000,0,Survivor,Pierce Brosnan:16821 points|Milla Jovovich:2102 points|Dylan McDermott|Angela Bassett:2543 points|Robert Forster,James McTeigue:15627 points,new year's eve|fire|showdown|terrorist|embassy,96,Crime|Thriller|Action,|Nu Image Films|Winkler Films|Millennium Films|Survivor Productions|,5/21/15,280,5.4,21180000,0,5.6
tt3076658,2.331567,35000000,137935567,Creed,Michael B. Jordan|Sylvester Stallone:11637 points|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,133,Drama,|New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions|,11/25/15,1171,7.3,37065000,146073764,7.6
tt3152624,2.31767,35000000,140795793,Trainwreck,Amy Schumer|Bill Hader|Brie Larson:7444 points|Colin Quinn|Vanessa Bayer,Judd Apatow,alcohol|one-night stand,125,Comedy,|Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions|,7/17/15,849,6.1,37065000,149102743,6.2
tt2057392,2.29573,13000000,32848185,Eye in the Sky,Helen Mirren:9592 points|Aaron Paul|Alan Rickman:38448 points|Iain Glen|Barkhad Abdi,Gavin Hood:751 points,terrorist|drone|u.s. military|air force base|combat drone,102,Drama|Thriller|War,|Entertainment One|Moonlighting Films|Raindog Films|,9/11/15,265,7.2,13767000,34786227,7.3
tt3569230,2.28135,25000000,42972994,Legend,Tom Hardy:64287 points|Emily Browning|Christopher Eccleston|David Thewlis:15568 points|Taron Egerton,Brian Helgeland,biography|based on true story|gangster|twins,131,Crime|Thriller,|Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE)|,9/9/15,619,6.7,26475000,45508400,7.0
